0.7,0.2,0.1
0.7,0.201,0.099
0.7,0.202,0.098
0.7,0.203,0.097
0.7,0.204,0.096
0.7,0.205,0.095
0.7,0.206,0.094
0.7,0.207,0.093
0.7,0.208,0.092
0.7,0.209,0.091
0.7,0.21,0.09
0.7,0.211,0.089
0.7,0.212,0.088
0.7,0.213,0.087
0.7,0.214,0.086
0.7,0.215,0.085
0.7,0.216,0.084
0.7,0.217,0.083
0.7,0.218,0.082
0.7,0.219,0.081
0.7,0.22,0.08
0.7,0.221,0.079
0.7,0.222,0.078
0.7,0.223,0.077
0.7,0.224,0.076
0.7,0.225,0.075
0.7,0.226,0.074
0.7,0.227,0.073
0.7,0.228,0.072
0.7,0.229,0.071
0.7,0.23,0.07
0.7,0.231,0.069
0.7,0.232,0.068
0.7,0.233,0.067
0.7,0.234,0.066
0.7,0.235,0.065
0.7,0.236,0.064
0.7,0.237,0.063
0.7,0.238,0.062
0.7,0.239,0.061
0.7,0.24,0.06
0.7,0.241,0.059
0.7,0.242,0.058
0.7,0.243,0.057
0.7,0.244,0.056
0.7,0.245,0.055
0.7,0.246,0.054
0.7,0.247,0.053
0.7,0.248,0.052
0.7,0.249,0.051
0.7,0.25,0.05
0.701,0.199,0.1
0.701,0.2,0.099
0.701,0.201,0.098
0.701,0.202,0.097
0.701,0.203,0.096
0.701,0.204,0.095
0.701,0.205,0.094
0.701,0.206,0.093
0.701,0.207,0.092
0.701,0.208,0.091
0.701,0.209,0.09
0.701,0.21,0.089
0.701,0.211,0.088
0.701,0.212,0.087
0.701,0.213,0.086
0.701,0.214,0.085
0.701,0.215,0.084
0.701,0.216,0.083
0.701,0.217,0.082
0.701,0.218,0.081
0.701,0.219,0.08
0.701,0.22,0.079
0.701,0.221,0.078
0.701,0.222,0.077
0.701,0.223,0.076
0.701,0.224,0.075
0.701,0.225,0.074
0.701,0.226,0.073
0.701,0.227,0.072
0.701,0.228,0.071
0.701,0.229,0.07
0.701,0.23,0.069
0.701,0.231,0.068
0.701,0.232,0.067
0.701,0.233,0.066
0.701,0.234,0.065
0.701,0.235,0.064
0.701,0.236,0.063
0.701,0.237,0.062
0.701,0.238,0.061
0.701,0.239,0.06
0.701,0.24,0.059
0.701,0.241,0.058
0.701,0.242,0.057
0.701,0.243,0.056
0.701,0.244,0.055
0.701,0.245,0.054
0.701,0.246,0.053
0.701,0.247,0.052
0.701,0.248,0.051
0.701,0.249,0.05
0.701,0.25,0.049
0.702,0.198,0.1
0.702,0.199,0.099
0.702,0.2,0.098
0.702,0.201,0.097
0.702,0.202,0.096
0.702,0.203,0.095
0.702,0.204,0.094
0.702,0.205,0.093
0.702,0.206,0.092
0.702,0.207,0.091
0.702,0.208,0.09
0.702,0.209,0.089
0.702,0.21,0.088
0.702,0.211,0.087
0.702,0.212,0.086
0.702,0.213,0.085
0.702,0.214,0.084
0.702,0.215,0.083
0.702,0.216,0.082
0.702,0.217,0.081
0.702,0.218,0.08
0.702,0.219,0.079
0.702,0.22,0.078
0.702,0.221,0.077
0.702,0.222,0.076
0.702,0.223,0.075
0.702,0.224,0.074
0.702,0.225,0.073
0.702,0.226,0.072
0.702,0.227,0.071
0.702,0.228,0.07
0.702,0.229,0.069
0.702,0.23,0.068
0.702,0.231,0.067
0.702,0.232,0.066
0.702,0.233,0.065
0.702,0.234,0.064
0.702,0.235,0.063
0.702,0.236,0.062
0.702,0.237,0.061
0.702,0.238,0.06
0.702,0.239,0.059
0.702,0.24,0.058
0.702,0.241,0.057
0.702,0.242,0.056
0.702,0.243,0.055
0.702,0.244,0.054
0.702,0.245,0.053
0.702,0.246,0.052
0.702,0.247,0.051
0.702,0.248,0.05
0.702,0.249,0.049
0.702,0.25,0.048
0.703,0.197,0.1
0.703,0.198,0.099
0.703,0.199,0.098
0.703,0.2,0.097
0.703,0.201,0.096
0.703,0.202,0.095
0.703,0.203,0.094
0.703,0.204,0.093
0.703,0.205,0.092
0.703,0.206,0.091
0.703,0.207,0.09
0.703,0.208,0.089
0.703,0.209,0.088
0.703,0.21,0.087
0.703,0.211,0.086
0.703,0.212,0.085
0.703,0.213,0.084
0.703,0.214,0.083
0.703,0.215,0.082
0.703,0.216,0.081
0.703,0.217,0.08
0.703,0.218,0.079
0.703,0.219,0.078
0.703,0.22,0.077
0.703,0.221,0.076
0.703,0.222,0.075
0.703,0.223,0.074
0.703,0.224,0.073
0.703,0.225,0.072
0.703,0.226,0.071
0.703,0.227,0.07
0.703,0.228,0.069
0.703,0.229,0.068
0.703,0.23,0.067
0.703,0.231,0.066
0.703,0.232,0.065
0.703,0.233,0.064
0.703,0.234,0.063
0.703,0.235,0.062
0.703,0.236,0.061
0.703,0.237,0.06
0.703,0.238,0.059
0.703,0.239,0.058
0.703,0.24,0.057
0.703,0.241,0.056
0.703,0.242,0.055
0.703,0.243,0.054
0.703,0.244,0.053
0.703,0.245,0.052
0.703,0.246,0.051
0.703,0.247,0.05
0.703,0.248,0.049
0.703,0.249,0.048
0.703,0.25,0.047
0.704,0.196,0.1
0.704,0.197,0.099
0.704,0.198,0.098
0.704,0.199,0.097
0.704,0.2,0.096
0.704,0.201,0.095
0.704,0.202,0.094
0.704,0.203,0.093
0.704,0.204,0.092
0.704,0.205,0.091
0.704,0.206,0.09
0.704,0.207,0.089
0.704,0.208,0.088
0.704,0.209,0.087
0.704,0.21,0.086
0.704,0.211,0.085
0.704,0.212,0.084
0.704,0.213,0.083
0.704,0.214,0.082
0.704,0.215,0.081
0.704,0.216,0.08
0.704,0.217,0.079
0.704,0.218,0.078
